author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Florian Siegmund,Dynamic Resampling for Preference-based Evolutionary Multi-objective Optimization of Stochastic Systems: Improving the efficiency of time-constrained optimization.,"University of Skövde, Sweden",2016,,https://urn.kb.se/resolve?urn=urn:nbn:se:his:diva-13088,,,,,,,,,,,,,,,,,
Johan Holmgren,On the integration of optimization and agent technology for transportation and production planning.,"Blekinge Institute of Technology, Sweden",2010,,"https://urn.kb.se/resolve?urn=urn:nbn:se:bth-00474, https://nbn-resolving.org/urn:nbn:se:bth-00474, https://www.base-search.net/Record/1a197ae8906a06cb5fe5a3e1bf8021b304ad900d23b945601f19ff29920a0b69",,,,,,,,,,,,base-search.net (ftblekingethallb:oai:DiVA.org:bth-00474),,,,,
Ala Sarah Alaqra,Tinkering the Wicked Problem of Privacy: Design Challenges and Opportunities for Crypto-based Services.,"Karlstad University, Sweden",2020,,https://urn.kb.se/resolve?urn=urn:nbn:se:kau:diva-75992,,,,,,,,,,,,,,,,,
Edris Safavi,Collaborative Multidisciplinary Design Optimization for Conceptual Design of Complex Products.,"Linköping University, Sweden",2016,,https://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-131792,,,,,,,,,,,,,,,,,
Arianit Kurti,Exploring the multiple dimensions of context: Implications for the design and development of innovative technology-enhanced learning environments.,"Linnaeus University, Sweden",2009,,https://urn.kb.se/resolve?urn=urn:nbn:se:vxu:diva-5212,,,,,,,,,,,,,,,,,
M. Sirajul Islam,Creating opportunity by connecting the unconnected: mobile phone based agriculture market information service for farmers in Bangladesh.,"Örebro University, Sweden",2011,,https://urn.kb.se/resolve?urn=urn:nbn:se:oru:diva-17216,,,,,,,,,,,,,,,,,
Thashmee Karunaratne,Learning predictive models from graph data using pattern mining.,"Stockholm University, Sweden",2014,,"https://urn.kb.se/resolve?urn=urn:nbn:se:su:diva-100713, https://nbn-resolving.org/urn:nbn:se:su:diva-100713, https://www.base-search.net/Record/2c819322a645243476274c4a7a3a80680e37525ddd236f9994e7057a2380955d",,,,,,,,,,,,base-search.net (ftstockholmuniv:oai:DiVA.org:su-100713),,,,,
Laia Turmo Vidal,Designing for Intercorporeality: An Interaction Design Approach to Technology-Supported Movement Learning.,"Uppsala University, Sweden",2021,,https://urn.kb.se/resolve?urn=urn:nbn:se:uu:diva-452038,,,,,,,,,,,,,,,,,
Yan Wang 0077,A Domain-Specific Language for Protocol Stack Implementation in Embedded Systems.,"Örebro University, School of Science and Technology, Sweden",2011,,"https://urn.kb.se/resolve?urn=urn:nbn:se:oru:diva-15249, https://urn.kb.se/resolve?urn=urn:nbn:se:hh:diva-16156",,,,,,,,,,,,,,,,,
Jeff Winter,The Rocky Road: Why Usability Work is so Difficult.,"Blekinge Institute of Technology, Sweden",2013,,"https://urn.kb.se/resolve?urn=urn:nbn:se:bth-00552, https://nbn-resolving.org/urn:nbn:se:bth-00552, https://www.base-search.net/Record/744b53e632daadd36b165de561889cc957dc027684b615017226d8fdf7902f6f",,,,,,,,,,,,base-search.net (ftblekingethallb:oai:DiVA.org:bth-00552),,,,,
Chen-Wei Yang,Cyber-Physical Engineering of Distributed Automation Systems in Energy Domain.,"Lulea University of Technology, Sweden",2018,,"https://urn.kb.se/resolve?urn=urn:nbn:se:ltu:diva-68045, https://nbn-resolving.org/urn:nbn:se:ltu:diva-68045, https://www.base-search.net/Record/fda6d4ca05e63f7a009d03756bbe9b768a382cfc43f7862e16b767dc6c01a960",,,,,,,,,,,,base-search.net (ftluleatu:oai:DiVA.org:ltu-68045),,,,,
Mario Romero,Supporting human interpretation and analysis of activity captured through overhead video.,"KTH Royal Institute of Technology, Sweden",2009,,https://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-166022,,,,,,,,,,,,,,,,,
Charlott Lorentzen,On User Perception of Authentication in Networks.,"Blekinge Institute of Technology, Sweden",2014,,"https://urn.kb.se/resolve?urn=urn:nbn:se:bth-00584, https://www.base-search.net/Record/23c57c5d33af3447df917d428bb3b41b68393b0f678456f605b0c36f9e1e70f7",,,,,,,,,,,,base-search.net(ftblekingethallb:oai:DiVA.org:bth-00584),,,,,
Mary Rudner,Modalities of Mind: Modality-specific and nonmodality-specific aspects of working memory for sign and speech.,"Linköping University, Sweden",2005,,https://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-3942,,,,,,,,,,,,,,,,,
Niki Matinrad,Models for Dispatch of Volunteers in Daily Emergency Response.,"Linköping University, Sweden",2022,,https://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182309,,,,,,,,,,,,,,,,,
Hung-Son Le,Face Recognition: A Single View Based HMM Approach.,"Umea University, Sweden",2008,,https://urn.kb.se/resolve?urn=urn:nbn:se:umu:diva-1485,,,,,,,,,,,,,,,,,
Astrid von Euler,Information modelling for the manufacturing system life cycle.,"KTH Royal Institute of Technology, Sweden",2008,,https://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-4797,,,,,,,,,,,,,,,,,
Markus Klein 0003,Single-Zone Cylinder Pressure Modeling and Estimation for Heat Release Analysis of SI Engines.,"Linköping University, Sweden",2007,,https://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-9863,,,,,,,,,,,,,,,,,
Mohammad Loni,Efficient Design of Scalable Deep Neural Networks for Resource-Constrained Edge Devices.,"Mälardalen University, Sweden",2022,,"https://urn.kb.se/resolve?urn=urn:nbn:se:mdh:diva-59946, https://nbn-resolving.org/urn:nbn:se:mdh:diva-59946, https://www.base-search.net/Record/f01b48ee6f72cac2cabfdc5d0ed43faf2badcd4cafccca9abd905dee80e0bdba",,,,,,,,,,,,base-search.net (ftmaelardalensho:oai:DiVA.org:mdh-59946),,,,,
Johan Karlsson 0001,Information structures and workflows in health care informatics.,"Umea University, Sweden",2010,,https://urn.kb.se/resolve?urn=urn:nbn:se:umu:diva-33829,,,,,,,,,,,,,,,,,
Victor Manuel Hernández Bennetts,Mobile robots with in-situ and remote sensors for real world gas distribution modelling.,"Örebro University, Sweden",2015,,https://urn.kb.se/resolve?urn=urn:nbn:se:oru:diva-41114,,,,,,,,,,,,,,,,,
Daniel Johansson,Convergence in mixed reality-virtuality environments: facilitating natural user behavior.,"Örebro University, Sweden",2012,,https://urn.kb.se/resolve?urn=urn:nbn:se:oru:diva-21054,,,,,,,,,,,,,,,,,
Ulf Jennehag,Bandwidth Efficient IPTV Distribution: On Error Resilience and Fast Channel Change.,"Mid Sweden University, Sweden",2007,,https://urn.kb.se/resolve?urn=urn:nbn:se:miun:diva-52,,,,,,,,,,,,,,,,,
David Rylander,Productivity Improvements in Construction Transport Operation through Lean Thinking and Systems of Systems.,"Mälardalen University, Sweden",2021,,https://urn.kb.se/resolve?urn=urn:nbn:se:mdh:diva-56306,,,,,,,,,,,,,,,,,
Marie Sjölinder,Age-related cognitive decline and navigation in electronic environments.,"Research Institutes of Sweden, Sweden",2006,,https://urn.kb.se/resolve?urn=urn:nbn:se:ri:diva-21185,,,,,,,,,,,,,,,,,
Aya Rizk,Data-driven Innovation: An exploration of outcomes and processes within federated networks.,"Lulea University of Technology, Sweden",2020,,https://urn.kb.se/resolve?urn=urn:nbn:se:ltu:diva-81143,,,,,,,,,,,,,,,,,
Niklas Karvonen,Unobtrusive Activity Recognition in Resource-Constrained Environments.,"Lulea University of Technology, Sweden",2018,,https://urn.kb.se/resolve?urn=urn:nbn:se:ltu:diva-71073,,,,,,,,,,,,,,,,,
Katarina Lindblad-Gidlund,Techno Therapy: a relation with technology.,"Umea University, Sweden",2005,,https://urn.kb.se/resolve?urn=urn:nbn:se:umu:diva-523,,,,,,,,,,,,,,,,,
Emil Numminen,"On the Economic Return of a Software Investment - Managing Cost, Benefit and Uncertainty.","Blekinge Institute of Technology, Sweden",2010,,https://urn.kb.se/resolve?urn=urn:nbn:se:bth-00480,,,,,,,,,,,,,,,,,
Jesper Holgersson,User Participation In Public e-service Development : Guidelines for including external users.,"University of Skövde, Sweden",2014,,https://urn.kb.se/resolve?urn=urn:nbn:se:his:diva-10169,,,,,,,,,,,,,,,,,
Gideon Mbiydzenyuy,Quantitative Assessment of Intelligent Transport Systems for Road Freight Transport.,"Blekinge Institute of Technology, Sweden",2013,,https://urn.kb.se/resolve?urn=urn:nbn:se:bth-00553,,,,,,,,,,,,,,,,,
Stefan Alfredsson,A Cross-Layer Perspective on Transport Protocol Performance in Wireless Networks.,"Karlstad University, Sweden",2012,,https://urn.kb.se/resolve?urn=urn:nbn:se:kau:diva-9572,,,,,,,,,,,,,,,,,
Jarmo Laaksolahti,"Plot, Spectacle, and Experience: Contributions to the Design and Evaluation of Interactive Storytelling.","Stockholm University, Sweden",2008,,https://urn.kb.se/resolve?urn=urn:nbn:se:su:diva-7325,,,,,,,,,,,,,,,,,
Goran Milutinovic,Computational and Visual Tools for Geospatial Multi-Criteria Decision-Making.,"University of Gävle, Sweden",2020,,https://urn.kb.se/resolve?urn=urn:nbn:se:hig:diva-31928,,,,,,,,,,,,,,,,,
Yang Guo,"Heterogeneous Knowledge Sharing in eHealth: Modeling, Validation and Application.","Blekinge Institute of Technology, Sweden",2019,,"https://urn.kb.se/resolve?urn=urn:nbn:se:bth-18707, https://www.base-search.net/Record/49e5055a0d19ae876a123ea470d63d747329546522df8c5f73ff7fb093d31ac7",,,,,,,,,,,,base-search.net (ftblekingethallb:oai:DiVA.org:bth-18707),,,,,
Robbert Jongeling,Lightweight consistency checking for advancing continuous model-based development in industry.,"Mälardalen University, Sweden",2022,,https://urn.kb.se/resolve?urn=urn:nbn:se:mdh:diva-60230,,,,,,,,,,,,,,,,,
Joshua A. Haustein,"Robot Manipulation Planning Among Obstacles: Grasping, Placing and Rearranging.","KTH Royal Institute of Technology, Sweden",2020,,https://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-266792,,,,,,,,,,,,,,,,,
Respickius Casmir,A Dynamic and Adaptive Information Security Awareness (DAISA) Approach.,"Stockholm University, Sweden",2005,,"https://urn.kb.se/resolve?urn=urn:nbn:se:su:diva-743, https://nbn-resolving.org/urn:nbn:se:su:diva-743, https://www.base-search.net/Record/e1c3e31cc83b1b76d4c1afea8b19faa6057737bfb01a02cd06dc310e7a6a04fd",,,,,,,,,,,,base-search.net (ftstockholmuniv:oai:DiVA.org:su-743),,,,,
Yue Lu 0005,Pragmatic Approaches for Timing Analysis of Real-Time Embedded Systems.,"Mälardalen University, Sweden",2012,,"https://urn.kb.se/resolve?urn=urn:nbn:se:mdh:diva-14628, https://www.base-search.net/Record/43f1466f5ecc65533bbf1b401bf7fdcb398f81e165fbe4cd9e9039a38799bc04",,,,,,,,,,,,base-search.net(ftmaelardalensho:oai:DiVA.org:mdh-14628),,,,,
Vladislav Polianskii,Breaking the Dimensionality Curse of Voronoi Tessellations.,"KTH Royal Institute of Technology, Sweden",2022,,https://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-319984,,,,,,,,,,,,,,,,,
Joakim Fröberg,Engineering Automotive Electronic Systems: Decision Support for Successful Integration.,"Mälardalen University, Sweden",2007,,"https://urn.kb.se/resolve?urn=urn:nbn:se:mdh:diva-459, https://nbn-resolving.org/urn:nbn:se:mdh:diva-459, https://www.base-search.net/Record/b86d699c815844e2d56c2ca82d4435206d1c288710826c64151a489d26fb222a",,,,,,,,,,,,base-search.net(ftmaelardalensho:oai:DiVA.org:mdh-459),,,,,
Muhammad Irfan Kazim,Variation-Aware System Design Simulation Methodology for Capacitive BCC Transceivers.,"Linköping University, Sweden",2015,,https://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-122840,,,,,,,,,,,,,,,,,
Christoffer Brax,Anomaly detection in the surveillance domain.,"Örebro University, Sweden",2011,,https://urn.kb.se/resolve?urn=urn:nbn:se:oru:diva-16373,,,,,,,,,,,,,,,,,
Thomas Pederson,From Conceptual Links to Causal Relations - Physical-Virtual Artefacts in Mixed-Reality Space.,"Umea University, Sweden",2003,,https://urn.kb.se/resolve?urn=urn:nbn:se:umu:diva-137,,,,,,,,,,,,,,,,,
Helge Hüttenrauch,From HCI to HRI: Designing Interaction for a Service Robot.,"KTH Royal Institute of Technology, Sweden",2006,,https://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-4255,,,,,,,,,,,,,,,,,
Adnan Causevic,Quality of Test Design in Test Driven Development.,"Mälardalen University, Sweden",2013,,https://urn.kb.se/resolve?urn=urn:nbn:se:mdh:diva-18773,,,,,,,,,,,,,,,,,
Anders Dahlbom,Petri nets for situation recognition.,"Örebro University, Sweden",2011,,https://urn.kb.se/resolve?urn=urn:nbn:se:oru:diva-13089,,,,,,,,,,,,,,,,,
Johan Kraft,Enabling Timing Analysis of Complex Embedded Software Systems.,"Mälardalen University, Sweden",2010,,"https://urn.kb.se/resolve?urn=urn:nbn:se:mdh:diva-9532, https://nbn-resolving.org/urn:nbn:se:mdh:diva-9532, https://www.base-search.net/Record/ab35d676c928314f0fead09642d7b874a15758f64aaf2a6ff775f644002e3e02",,,,,,,,,,,,base-search.net (ftmaelardalensho:oai:DiVA.org:mdh-9532),,,,,
Waqas Ahmad 0002,High Efficiency Light Field Image Compression: Hierarchical Bit Allocation and Shearlet-based View Interpolation.,"Mid Sweden University, Sweden",2021,,https://urn.kb.se/resolve?urn=urn:nbn:se:miun:diva-41704,,,,,,,,,,,,,,,,,
Karin Ahlin,Benefits of Digital Technical Information.,"Mid Sweden University, Sweden",2020,,https://urn.kb.se/resolve?urn=urn:nbn:se:miun:diva-39218,,,,,,,,,,,,,,,,,
Andreas Lund,Massification of the Intangible: An investigation into embodied meaning and information visualization.,"Umea University, Sweden",2003,,https://urn.kb.se/resolve?urn=urn:nbn:se:umu:diva-145,,,,,,,,,,,,,,,,,
Mudassar Ahmad Mughal,"Live Mobile Video Interaction: Inventing and investigating technology, formats and applications.","Stockholm University, Sweden",2015,,"https://urn.kb.se/resolve?urn=urn:nbn:se:su:diva-124317, https://nbn-resolving.org/urn:nbn:se:su:diva-124317, https://www.base-search.net/Record/01db4409d467c7206d77c870a4ac5de837728b687e2826b8cfa5830f48068b00",,,,,,,,,,,,base-search.net (ftstockholmuniv:oai:DiVA.org:su-124317),,,,,
Fredrik Johansson,Evaluating the performance of TEWA systems.,"Örebro University, Sweden",2010,,https://urn.kb.se/resolve?urn=urn:nbn:se:oru:diva-11996,,,,,,,,,,,,,,,,,
Abhilash Thekkilakattil,Limited Preemptive Scheduling in Real-time Systems.,"Mälardalen University, Sweden",2016,,https://urn.kb.se/resolve?urn=urn:nbn:se:mdh:diva-31274,,,,,,,,,,,,,,,,,
Tharaka Ilayperuma,Improving E-Business Design through Business Model Analysis.,"Stockholm University, Sweden",2010,,https://urn.kb.se/resolve?urn=urn:nbn:se:su:diva-43754,,,,,,,,,,,,,,,,,
Anna Eckerdal,Novice Programming Students' Learning of Concepts and Practise.,"Uppsala University, Sweden",2009,,https://urn.kb.se/resolve?urn=urn:nbn:se:uu:diva-9551,,,,,,,,,,,,,,,,,
Matthew M. Raoufi,How can I help you?: The delivery of e-government services by means of a digital assistant.,"Umea University, Sweden",2005,,https://urn.kb.se/resolve?urn=urn:nbn:se:umu:diva-526,,,,,,,,,,,,,,,,,
Shafiq ur Réhman 0002,Expressing emotions through vibration for perception and control.,"Umea University, Sweden",2010,,https://urn.kb.se/resolve?urn=urn:nbn:se:umu:diva-32990,,,,,,,,,,,,,,,,,
Rosa Gudjonsdottir,Personas and Scenarios in Use.,"KTH Royal Institute of Technology, Sweden",2010,,https://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-12834,,,,,,,,,,,,,,,,,
Lennart E. Nacke,Affective Ludology: Scientific Measurement of User Experience in Interactive Entertainment.,"Blekinge Institute of Technology, Sweden",2009,,https://urn.kb.se/resolve?urn=urn:nbn:se:bth-00449,,,,,,,,,,,,,,,,,
Håkan Gustavsson,Lean Thinking Applied to System Architecting.,"Mälardalen University, Sweden",2011,,https://urn.kb.se/resolve?urn=urn:nbn:se:mdh:diva-11717,,,,,,,,,,,,,,,,,
Navoda Senavirathne,Towards Privacy Preserving Micro-data Analysis: A machine learning based perspective under prevailing privacy regulations.,"University of Skövde, Sweden",2021,,https://urn.kb.se/resolve?urn=urn:nbn:se:his:diva-20714,,,,,,,,,,,,,,,,,
Vishnu Unnikrishnan,Design of VCO-based ADCs.,"Linköping University, Sweden",2016,,https://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-132789,,,,,,,,,,,,,,,,,
Lars-Ola Damm,Early and Cost-Effective Software Fault Detection: Measurement and Implementation in an Industrial Setting.,"Blekinge Institute of Technology, Sweden",2007,,https://urn.kb.se/resolve?urn=urn:nbn:se:bth-00362,,,,,,,,,,,,,,,,,
Sandeep Patil,Enhanced engineering of component-based industrial automation systems using formal methods.,"Lulea University of Technology, Sweden",2018,,"https://urn.kb.se/resolve?urn=urn:nbn:se:ltu:diva-68113, https://nbn-resolving.org/urn:nbn:se:ltu:diva-68113, https://www.base-search.net/Record/178e320c9cf787dc3b9e272b6d58e4b08129160039e9357d2e83e52df732a72e",,,,,,,,,,,,base-search.net (ftluleatu:oai:DiVA.org:ltu-68113),,,,,
Li Zhang,On Non-Prioritized Multiple Belief Revision.,"KTH Royal Institute of Technology, Sweden",2018,,https://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-227171,,,,,,,,,,,,,,,,,
Paulina Rajkowska,Articulating The User: a Discursive-Material Analysis of Humans in Interdisciplinary Design Collaborations.,"Uppsala University, Sweden",2022,,https://urn.kb.se/resolve?urn=urn:nbn:se:uu:diva-481219,,,,,,,,,,,,,,,,,
Mahshid Helali Moghadam,Intelligence-Driven Software Performance Assurance.,"Mälardalen University, Sweden",2022,,"https://urn.kb.se/resolve?urn=urn:nbn:se:mdh:diva-58065, https://nbn-resolving.org/urn:nbn:se:mdh:diva-58065, https://www.base-search.net/Record/9f2b59266e72c981a7f43054cff8cbc90baaa2a492b9258db5be7d58f71ed27d",,,,,,,,,,,,base-search.net (ftmaelardalensho:oai:DiVA.org:mdh-58065),,,,,
Hussein Aziz,Streaming Video over Unreliable and Bandwidth Limited Networks.,"Blekinge Institute of Technology, Sweden",2013,,https://urn.kb.se/resolve?urn=urn:nbn:se:bth-00560,,,,,,,,,,,,,,,,,
Fredrik Olsson,Bootstrapping Named Entity Annotation by Means of Active Machine Learning: A Method for Creating Corpora.,"Research Institutes of Sweden, Sweden",2008,,https://urn.kb.se/resolve?urn=urn:nbn:se:ri:diva-22935,,,,,,,,,,,,,,,,,
Margareta Lützhöft,"""The technology is great when it works"": Maritime Technology and Human Integration on the Ship's Bridge.","Linköping University, Sweden",2004,,https://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-5017,,,,,,,,,,,,,,,,,
Levon Saldamli,PDEModelica - A High-Level Language for Modeling with Partial Differential Equations.,"Linköping University, Sweden",2006,,https://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-7281,,,,,,,,,,,,,,,,,
Yamur K. Al-Douri,Two-Level Multi-Objective Genetic Algorithm for Risk-Based Life Cycle Cost Analysis.,"Lulea University of Technology, Sweden",2019,,https://urn.kb.se/resolve?urn=urn:nbn:se:ltu:diva-76172,,,,,,,,,,,,,,,,,
Dimitris Paraschakis,"Sociotechnical Aspects of Automated Recommendations: Algorithms, Ethics, and Evaluation.","Malmö University, Sweden",2020,,https://urn.kb.se/resolve?urn=urn:nbn:se:mau:diva-13750,,,,,,,,,,,,,,,,,
María Ángeles Galán García,Categorical Unification.,"Umea University, Sweden",2004,,https://urn.kb.se/resolve?urn=urn:nbn:se:umu:diva-245,,,,,,,,,,,,,,,,,
Charlotte Shahlaei,Rethinking Competence: On Performing Digital Transformation.,"University West, Sweden",2021,,https://urn.kb.se/resolve?urn=urn:nbn:se:hv:diva-17811,,,,,,,,,,,,,,,,,
Amir Aminifar,"Analysis, Design, and Optimization of Embedded Control Systems.","Linköping University, Sweden",2016,,https://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-124319,,,,,,,,,,,,,,,,,
Sara Landström,TCP/IP technology for modern network environments.,"Lulea University of Technology, Sweden",2008,,https://urn.kb.se/resolve?urn=urn:nbn:se:ltu:diva-25736,,,,,,,,,,,,,,,,,
Erling Björgvinsson,"Socio-material mediations: learning, knowing and self-produced media within healthcare.","Malmö University, Sweden",2007,,https://urn.kb.se/resolve?urn=urn:nbn:se:mau:diva-7384,,,,,,,,,,,,,,,,,
Hillevi Sundholm,Spaces within Spaces: The Construction of a Collaborative Reality.,"Stockholm University, Sweden",2007,,https://urn.kb.se/resolve?urn=urn:nbn:se:su:diva-6860,,,,,,,,,,,,,,,,,
Johanna Sefyrin,Sitting on the Fence - Critical Explorations of Participatory Practices in IT Design.,"Mid Sweden University, Sweden",2010,,https://urn.kb.se/resolve?urn=urn:nbn:se:miun:diva-11250,,,,,,,,,,,,,,,,,
Karin Hedström,Spår av datoriseringens värden: Effekter av IT i äldreomsorg.,"Linköping University, Sweden",2004,,https://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-4934,,,,,,,,,,,,,,,,,
Mahvish Khurum,Decision Support for Product Management of Software Intensive Products.,"Blekinge Institute of Technology, Sweden",2011,,https://urn.kb.se/resolve?urn=urn:nbn:se:bth-00511,,,,,,,,,,,,,,,,,
Anton Borg,On Descriptive and Predictive Models for Serial Crime Analysis.,"Blekinge Institute of Technology, Sweden",2014,,https://urn.kb.se/resolve?urn=urn:nbn:se:bth-00597,,,,,,,,,,,,,,,,,
Jenni Reuben,Go the Extra Mile for Accountability: Privacy Protection Measures for Emerging Information Management Systems.,"Karlstad University, Sweden",2020,,https://urn.kb.se/resolve?urn=urn:nbn:se:kau:diva-80531,,,,,,,,,,,,,,,,,
Timotheus Kampik,Principle-based non-monotonic reasoning - from humans to machines.,"Umea University, Sweden",2022,,https://urn.kb.se/resolve?urn=urn:nbn:se:umu:diva-193460,,,,,,,,,,,,,,,,,
Cristian Hernandez Benet,Traffic Management in Software-Defined Data Center Networks.,"Karlstad University, Sweden",2021,,https://urn.kb.se/resolve?urn=urn:nbn:se:kau:diva-83671,,,,,,,,,,,,,,,,,
Leonel Plazaola,Strategic Business and IT Alignment Assessment: A Modeling Approach Associated with Enterprise Architecture.,"KTH Royal Institute of Technology, Sweden",2009,,https://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-10584,,,,,,,,,,,,,,,,,
Martin Stojanov,Datafication in Public Health Surveillance: Making Authoritative Accounts.,"Uppsala University, Sweden",2021,,https://urn.kb.se/resolve?urn=urn:nbn:se:uu:diva-454758,,,,,,,,,,,,,,,,,
Maria Normark,Work and Technology Use in Centers of Coordination: Reflections on the relationship between situated practice and artifact design.,"KTH Royal Institute of Technology, Sweden",2005,,https://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-462,,,,,,,,,,,,,,,,,
Kristina Groth,On knowing who knows: An alternative approach to knowledge management.,"KTH Royal Institute of Technology, Sweden",2004,,https://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-61,,,,,,,,,,,,,,,,,
Jens Ohlsson,Exploring Designs for a Process Prioritisation Method.,"Stockholm University, Sweden",2016,,https://urn.kb.se/resolve?urn=urn:nbn:se:su:diva-134553,,,,,,,,,,,,,,,,,
Jonas Lundberg,Shaping electronic news: A case study of genre perspectives on interaction design.,"Linköping University, Sweden",2005,,https://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-5020,,,,,,,,,,,,,,,,,
Karl-Johan Grinnemo,Transport Services for Soft Real-Time Applications in IP Networks.,"Karlstad University, Sweden",2006,,https://urn.kb.se/resolve?urn=urn:nbn:se:kau:diva-912,,,,,,,,,,,,,,,,,
Maria Riveiro 0001,Visual analytics for maritime anomaly detection.,"Örebro University, Sweden",2011,,https://urn.kb.se/resolve?urn=urn:nbn:se:oru:diva-12783,,,,,,,,,,,,,,,,,
Niclas Eberhagen,Understanding the Designing of Knowledge Work Support Tools as a Situated Practice.,"Linnaeus University, Sweden",2011,,https://urn.kb.se/resolve?urn=urn:nbn:se:lnu:diva-15083,,,,,,,,,,,,,,,,,
Ilda Lourenço-Lindell,Walking the tight rope: Informal livelihoods and social networks in a West African city.,"Stockholm University, Sweden",2002,,https://urn.kb.se/resolve?urn=urn:nbn:se:su:diva-1385,,,,,,,,,,,,,,,,,
Kai Petersen,Implementing Lean and Agile Software Development in Industry.,"Blekinge Institute of Technology, Sweden",2010,,https://urn.kb.se/resolve?urn=urn:nbn:se:bth-00465,,,,,,,,,,,,,,,,,
Alexandru Popescu,Cognitive Radio Networks: Elements and Architectures.,"Blekinge Institute of Technology, Sweden",2014,,https://urn.kb.se/resolve?urn=urn:nbn:se:bth-00575,,,,,,,,,,,,,,,,,
Josip Maras,Automating Reuse in Web Application Development.,"Mälardalen University, Sweden",2014,,"https://urn.kb.se/resolve?urn=urn:nbn:se:mdh:diva-24600, https://nbn-resolving.org/urn:nbn:se:mdh:diva-24600, https://www.base-search.net/Record/293462698ba2b28a59f02238afaa9e19d7f3202960ed8d1be8603750282386d4",,,,,,,,,,,,base-search.net(ftmaelardalensho:oai:DiVA.org:mdh-24600),,,,,
Johanna Törnquist,Railway traffic disturbance management.,"Blekinge Institute of Technology, Sweden",2006,,https://urn.kb.se/resolve?urn=urn:nbn:se:bth-00315,,,,,,,,,,,,,,,,,
Pablo del Moral,Hierarchical Methods for Self-Monitoring Systems: Theory and Application.,"Halmstad University, Sweden",2022,,https://urn.kb.se/resolve?urn=urn:nbn:se:hh:diva-48138,,,,,,,,,,,,,,,,,
Christopher Iliffe Sprague,Efficient and Trustworthy Artificial Intelligence for Critical Robotic Systems.,"KTH Royal Institute of Technology, Sweden",2022,,https://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-321151,,,,,,,,,,,,,,,,,
Linda Bergkvist,"Towards a Framework for Relational-Oriented Management of Information Systems Outsourcing: Key Conditions Connected to Actors, Relationships and Process.","Karlstad University, Sweden",2014,,https://urn.kb.se/resolve?urn=urn:nbn:se:kau:diva-31990,,,,,,,,,,,,,,,,,
Suad Elezovic,Modeling financial volatility: A functional approach with applications to Swedish limit order book data.,"Umea University, Sweden",2009,,https://urn.kb.se/resolve?urn=urn:nbn:se:umu:diva-18757,,,,,,,,,,,,,,,,,
Andreas Persson,Studies in Semantic Modeling of Real-World Objects using Perceptual Anchoring.,"Örebro University, Sweden",2019,,https://urn.kb.se/resolve?urn=urn:nbn:se:oru:diva-73175,,,,,,,,,,,,,,,,,
Wubin Li,Algorithms and Systems for Virtual Machine Scheduling in Cloud Infrastructures.,"Umea University, Sweden",2014,,https://urn.kb.se/resolve?urn=urn:nbn:se:umu:diva-87310,,,,,,,,,,,,,,,,,
Federico Pecora,Multi-Agent Planning and Coordination Under Resource Constraints.,"Örebro University, Sweden",2007,,https://urn.kb.se/resolve?urn=urn:nbn:se:oru:diva-24039,,,,,,,,,,,,,,,,,
Petra Sundström,Designing Affective Loop Experiences.,"Stockholm University, Sweden",2010,,https://urn.kb.se/resolve?urn=urn:nbn:se:su:diva-43376,,,,,,,,,,,,,,,,,
Kristiina Ausmees,Methodology and Infrastructure for Statistical Computing in Genomics : Applications for Ancient DNA.,"Uppsala University, Sweden",2022,,https://urn.kb.se/resolve?urn=urn:nbn:se:uu:diva-470703,,,,,,,,,,,,,,,,,
Håkan Alm,Self Services and Disservices: Improving Avatars with Co-Design.,"University of Boras, Sweden",2014,,https://urn.kb.se/resolve?urn=urn:nbn:se:hb:diva-3711,,,,,,,,,,,,,,,,,
Carl Åborg,"How does IT feel @ work? And how to make IT better : Computer use, stress and health in office work.","Uppsala University, Sweden",2002,,https://urn.kb.se/resolve?urn=urn:nbn:se:uu:diva-2849,,,,,,,,,,,,,,,,,
